wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5275.014,77.799,141.7973,2.71E+10,1.05E+10,2.10E+10,1.39E+10,3.50E+10,0.2250149,0.002269136,0.284659,2.284027,2149.555,3917.855,1.822628,38.96014,4.636408
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5275.1664,77.15753,138.8569,2.90E+10,1.14E+10,2.17E+10,1.41E+10,3.68E+10,0.2111304,0.000181484,0.2766452,2.316572,2195.112,3950.371,1.799646,40.3225,4.646737
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5275.3188,76.29552,137.9138,2.94E+10,1.15E+10,2.22E+10,1.46E+10,3.76E+10,0.2039245,9.93E-05,0.2794939,2.335435,2210.081,3995.017,1.807631,41.84172,4.631465
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5275.4712,75.8201,136.7967,2.96E+10,1.16E+10,2.23E+10,1.46E+10,3.77E+10,0.2029964,0.001478328,0.2782933,2.332533,2228.13,4020.049,1.804227,42.35371,4.664731
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5275.6236,75.32877,136.9285,2.94E+10,1.15E+10,2.26E+10,1.49E+10,3.79E+10,0.2081977,0.007506835,0.2830019,2.316885,2225.979,4046.271,1.81775,43.16269,4.717642
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5275.776,75.30748,137.0686,2.92E+10,1.14E+10,2.25E+10,1.49E+10,3.77E+10,0.2153444,0.008282271,0.283815,2.301914,2223.704,4047.407,1.82012,41.58633,4.736345
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5275.9284,75.58965,137.2234,2.89E+10,1.13E+10,2.21E+10,1.46E+10,3.71E+10,0.2214132,0.00842119,0.28219,2.301505,2221.195,4032.301,1.815374,39.4375,4.673414
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5276.0808,77.34076,136.8372,2.90E+10,1.14E+10,2.06E+10,1.29E+10,3.58E+10,0.2278635,0.007427154,0.2652635,2.30733,2227.465,3941.1,1.769328,38.21209,4.648582
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5276.2332,78.19733,136.8156,2.90E+10,1.15E+10,1.99E+10,1.22E+10,3.53E+10,0.235648,0.006266435,0.2574144,2.310638,2227.816,3897.85,1.749628,36.57114,4.716458
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5276.3856,78.72737,136.5142,2.85E+10,1.14E+10,1.91E+10,1.15E+10,3.43E+10,0.244956,0.007743951,0.2508423,2.306733,2232.735,3871.596,1.734016,33.58297,4.79616
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5276.538,80.04169,136.9761,2.82E+10,1.14E+10,1.81E+10,1.06E+10,3.33E+10,0.2482773,0.008393752,0.2407342,2.302798,2225.207,3808.067,1.711328,30.35449,4.735494
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5276.6904,79.45429,136.7108,2.88E+10,1.16E+10,1.88E+10,1.11E+10,3.43E+10,0.244152,0.005086928,0.2449663,2.304906,2229.525,3836.181,1.720626,29.8578,4.533185
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5276.8428,78.9416,137.0701,2.91E+10,1.16E+10,1.95E+10,1.18E+10,3.50E+10,0.2391796,0.003661707,0.251844,2.308635,2223.68,3861.089,1.736353,30.6393,4.365211
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5276.9952,80.25404,138.9177,2.77E+10,1.11E+10,1.84E+10,1.10E+10,3.32E+10,0.2389836,0.005402685,0.2495345,2.30624,2194.124,3797.993,1.73098,31.12604,4.327072
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5277.1476,80.0882,140.6505,2.74E+10,1.09E+10,1.90E+10,1.18E+10,3.35E+10,0.2477269,0.006155564,0.2600851,2.290273,2167.088,3805.806,1.756199,29.85401,4.382097
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5277.3,80.67582,141.7,2.64E+10,1.05E+10,1.83E+10,1.14E+10,3.23E+10,0.2539833,0.009002158,0.26019,2.264673,2151.029,3778.094,1.756412,29.37312,4.367476
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5277.4524,80.29898,142.0883,2.60E+10,1.03E+10,1.85E+10,1.16E+10,3.22E+10,0.264403,0.01747146,0.2653757,2.253936,2145.146,3795.819,1.769494,29.90559,4.186155
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5277.6048,80.919,141.4509,2.64E+10,1.05E+10,1.81E+10,1.11E+10,3.21E+10,0.2720366,0.02072368,0.2567637,2.254519,2154.813,3766.741,1.748064,31.14269,3.920517
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5277.7572,81.13181,141.5913,2.65E+10,1.05E+10,1.81E+10,1.10E+10,3.21E+10,0.2763757,0.01623321,0.255588,2.23982,2152.675,3756.85,1.745201,30.23529,3.711185
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5277.9096,80.25198,143.1348,2.54E+10,9.98E+09,1.84E+10,1.18E+10,3.17E+10,0.2844246,0.01094531,0.2707271,2.202149,2129.474,3798.061,1.783589,27.09593,3.596695
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5278.062,81.85825,144.5389,2.33E+10,9.22E+09,1.64E+10,1.03E+10,2.87E+10,0.2824873,0.008734766,0.2639005,2.169394,2108.783,3723.587,1.765742,24.81174,3.5619
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5278.2144,81.86643,145.0055,2.48E+10,9.80E+09,1.77E+10,1.11E+10,3.07E+10,0.2662996,0.009816191,0.2660598,2.188986,2101.99,3723.138,1.771245,25.73307,3.598932
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5278.3668,81.66102,145.8903,2.45E+10,9.65E+09,1.79E+10,1.15E+10,3.08E+10,0.2432168,0.009103522,0.2718625,2.236656,2089.245,3732.505,1.786537,30.44916,3.77638
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5278.5192,81.08729,146.509,2.60E+10,1.02E+10,1.96E+10,1.28E+10,3.31E+10,0.2219959,0.007011928,0.2791989,2.285556,2080.419,3758.921,1.806813,33.32132,4.005925
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5278.6716,79.17847,146.2191,2.65E+10,1.03E+10,2.13E+10,1.45E+10,3.50E+10,0.2121291,0.01004015,0.2925413,2.311066,2084.543,3849.635,1.846749,34.24906,4.13835
