wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5184.4416,68.82846,126.6798,3.62E+10,1.40E+10,2.88E+10,1.94E+10,4.75E+10,0.1673887,0.004509854,0.2905286,2.419982,2406.168,4428.413,1.840508,18.46771,4.263518,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5184.594,69.01813,127.5699,3.60E+10,1.39E+10,2.90E+10,1.97E+10,4.75E+10,0.1775307,0.00157269,0.2930783,2.436832,2389.289,4416.27,1.848361,18.40911,4.229184,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5184.7464,69.34219,127.716,3.61E+10,1.40E+10,2.88E+10,1.95E+10,4.75E+10,0.1834422,0.000205974,0.2909849,2.456892,2386.554,4395.657,1.841845,18.3505,4.187435,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5184.8988,69.80355,128.0005,3.59E+10,1.39E+10,2.83E+10,1.90E+10,4.69E+10,0.1829122,0.001211183,0.2883617,2.459278,2381.306,4366.713,1.833741,18.76269,4.141789,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5185.0512,70.46091,129.0925,3.51E+10,1.36E+10,2.76E+10,1.85E+10,4.57E+10,0.1760544,0.004344855,0.287825,2.442652,2361.21,4325.962,1.83211,19.17487,4.097896,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5185.2036,71.12294,130.2402,3.42E+10,1.33E+10,2.68E+10,1.80E+10,4.46E+10,0.1636923,0.008078636,0.2875307,2.426412,2340.329,4285.726,1.831231,19.58706,4.056713,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5185.356,71.7552,131.0244,3.37E+10,1.31E+10,2.62E+10,1.75E+10,4.37E+10,0.1536876,0.01011326,0.2857989,2.423057,2326.319,4247.865,1.825998,19.56559,4.017825,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5185.5084,72.29108,131.7433,3.33E+10,1.30E+10,2.58E+10,1.71E+10,4.30E+10,0.1519838,0.00921774,0.2845866,2.420382,2313.614,4216.426,1.822428,19.54413,3.984572,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5185.6608,72.85919,132.2144,3.28E+10,1.28E+10,2.51E+10,1.65E+10,4.21E+10,0.1570035,0.008260412,0.2819358,2.406522,2305.35,4183.483,1.81468,19.52267,3.968335,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5185.8132,73.26394,132.6102,3.22E+10,1.26E+10,2.44E+10,1.61E+10,4.12E+10,0.1668283,0.009605323,0.2803295,2.381909,2298.509,4160.334,1.810028,19.21868,3.969231,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5185.9656,73.57405,133.5305,3.15E+10,1.23E+10,2.41E+10,1.59E+10,4.05E+10,0.1834629,0.01145387,0.2820062,2.359618,2282.717,4142.797,1.814895,18.9147,3.99688,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5186.118,73.81004,134.3394,3.11E+10,1.21E+10,2.39E+10,1.59E+10,4.01E+10,0.192075,0.009305679,0.2837906,2.350506,2268.893,4129.523,1.82007,18.61072,4.043586,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5186.2704,73.88422,133.9585,3.13E+10,1.22E+10,2.38E+10,1.57E+10,4.01E+10,0.1985197,0.007137185,0.2813569,2.355683,2275.395,4125.373,1.813088,19.33694,4.110237,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5186.4228,73.83678,132.9658,3.19E+10,1.25E+10,2.38E+10,1.55E+10,4.05E+10,0.2024405,0.005463356,0.2770474,2.374356,2292.367,4128.043,1.800808,20.06315,4.193105,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5186.5752,73.57298,132.3646,3.25E+10,1.27E+10,2.42E+10,1.57E+10,4.11E+10,0.203044,0.004699485,0.276449,2.397184,2302.732,4142.895,1.799119,20.78937,4.286684,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5186.7276,73.12468,132.2035,3.28E+10,1.28E+10,2.48E+10,1.63E+10,4.19E+10,0.2009407,0.00677913,0.2795928,2.410135,2305.541,4168.296,1.80794,21.46479,4.395082,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5186.88,72.63552,131.6964,3.31E+10,1.29E+10,2.52E+10,1.66E+10,4.24E+10,0.1922208,0.01120983,0.2813862,2.408196,2314.496,4196.417,1.813124,22.1402,4.506443,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5187.0324,72.00494,130.4682,3.36E+10,1.31E+10,2.55E+10,1.68E+10,4.30E+10,0.1805812,0.01569169,0.2809364,2.39974,2336.398,4233.293,1.811953,22.81561,4.629649,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5187.1848,71.11379,128.9881,3.44E+10,1.34E+10,2.62E+10,1.73E+10,4.41E+10,0.1674017,0.01775762,0.2816098,2.400232,2363.083,4286.684,1.813986,23.79401,4.75831,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5187.3372,70.02827,127.7847,3.53E+10,1.37E+10,2.74E+10,1.83E+10,4.57E+10,0.1536863,0.01642744,0.2853646,2.413445,2385.443,4352.791,1.824756,24.77241,4.887957,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5187.4896,69.13457,126.0516,3.66E+10,1.43E+10,2.84E+10,1.89E+10,4.74E+10,0.1400474,0.0156776,0.2848525,2.438593,2418.338,4409.301,1.823305,25.7508,5.015933,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5187.642,68.06582,123.8993,3.84E+10,1.50E+10,2.96E+10,1.96E+10,4.95E+10,0.130462,0.01578351,0.2837687,2.470061,2460.617,4478.433,1.820214,25.36843,5.138777,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5187.7944,66.98966,121.5139,4.04E+10,1.57E+10,3.08E+10,2.03E+10,5.18E+10,0.1207357,0.01744011,0.2816868,2.50198,2508.598,4550.696,1.813998,24.98606,5.233906,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5187.9468,65.71809,119.567,4.22E+10,1.64E+10,3.25E+10,2.15E+10,5.44E+10,0.1092951,0.01977297,0.2835546,2.526414,2549.679,4638.721,1.819366,24.60369,5.325106,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5188.0992,64.54182,117.3454,4.42E+10,1.72E+10,3.39E+10,2.25E+10,5.69E+10,0.09499812,0.02200367,0.28314,2.5504,2597.718,4723.065,1.818145,24.24391,5.39105,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5188.2516,63.56802,115.3461,4.62E+10,1.80E+10,3.53E+10,2.33E+10,5.93E+10,0.07676703,0.02464666,0.2817739,2.577903,2643.061,4795.259,1.814469,23.88413,5.457655,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5188.404,62.96424,112.6751,4.85E+10,1.90E+10,3.56E+10,2.29E+10,6.10E+10,0.06729303,0.02529955,0.2725365,2.601033,2705.973,4840.858,1.789463,23.52434,5.466367,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5188.5564,62.91746,110.1016,5.02E+10,2.00E+10,3.45E+10,2.12E+10,6.12E+10,0.06656259,0.01923017,0.2573055,2.607019,2768.66,4844.464,1.749969,22.66207,5.44383,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5188.7088,63.21301,108.8038,5.06E+10,2.03E+10,3.31E+10,1.96E+10,6.02E+10,0.07427359,0.0122507,0.2451233,2.590239,2801.433,4821.99,1.721309,21.79979,5.377463,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5188.8612,63.8706,108.736,4.98E+10,2.01E+10,3.15E+10,1.81E+10,5.84E+10,0.09195978,0.01036765,0.2365979,2.563511,2803.171,4772.49,1.702503,20.93751,5.25921,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5189.0136,64.55434,109.2649,4.85E+10,1.97E+10,3.01E+10,1.70E+10,5.64E+10,0.1285198,0.01407163,0.2318807,2.528156,2789.562,4721.699,1.692625,20.8153,5.120367,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5189.166,64.98959,109.7018,4.74E+10,1.93E+10,2.92E+10,1.64E+10,5.49E+10,0.1558216,0.01265779,0.2296262,2.496612,2778.507,4690.072,1.687987,20.6931,4.991473,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5189.3184,65.39165,110.6227,4.62E+10,1.88E+10,2.87E+10,1.62E+10,5.37E+10,0.1575013,0.007851981,0.231402,2.472702,2755.458,4661.226,1.69168,20.57089,4.859754,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5189.4708,65.4971,111.7812,4.54E+10,1.83E+10,2.89E+10,1.67E+10,5.34E+10,0.139276,0.002747759,0.23841,2.464481,2726.858,4653.76,1.706742,20.61516,4.735697,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5189.6232,64.96038,112.6597,4.52E+10,1.81E+10,3.03E+10,1.82E+10,5.44E+10,0.1116902,5.17E-05,0.2507631,2.469211,2705.528,4692.44,1.734466,20.65943,4.60114,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5189.7756,64.2024,112.9913,4.58E+10,1.82E+10,3.20E+10,1.99E+10,5.62E+10,0.0861972,2.30E-05,0.2615744,2.495073,2697.557,4747.696,1.759988,20.7037,4.4984,
