wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5236.8224,59.95866,107.2994,5.22E+10,2.05E+10,3.83E+10,2.47E+10,6.57E+10,0.1041501,0.007201762,0.2729871,2.541809,2840.663,5083.549,1.789561,15.91589,4.804656
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5236.9748,60.10004,107.5053,5.21E+10,2.05E+10,3.82E+10,2.46E+10,6.55E+10,0.1017985,0.00689503,0.2726969,2.54699,2835.216,5071.574,1.788776,12.63192,4.751489
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5237.1272,59.72827,107.201,5.26E+10,2.06E+10,3.89E+10,2.52E+10,6.64E+10,0.09944601,0.006889937,0.2749068,2.551329,2843.261,5103.193,1.794832,13.22762,4.664199
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5237.2796,59.13207,106.7517,5.33E+10,2.08E+10,4.02E+10,2.63E+10,6.80E+10,0.09759864,0.005792509,0.2786768,2.557352,2855.257,5154.765,1.805342,13.86914,4.582299
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5237.432,58.98315,106.6069,5.36E+10,2.09E+10,4.05E+10,2.65E+10,6.84E+10,0.09707274,0.003806761,0.2794182,2.561249,2859.163,5167.917,1.807464,15.2591,4.535737
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5237.5844,59.68026,107.5469,5.25E+10,2.06E+10,3.93E+10,2.56E+10,6.67E+10,0.09731474,0.001777476,0.2775091,2.558778,2834.146,5107.222,1.802047,14.26627,4.553282
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5237.7368,59.8522,108.2278,5.17E+10,2.02E+10,3.91E+10,2.56E+10,6.60E+10,0.09849824,0.000567066,0.2797131,2.546405,2816.296,5092.564,1.80825,14.48011,4.686158
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5237.8892,60.38284,109.7385,5.00E+10,1.95E+10,3.83E+10,2.54E+10,6.43E+10,0.1029228,0.000124437,0.2827872,2.523979,2778.107,5048.151,1.817286,14.48455,4.891711
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5238.0416,62.01543,112.4972,4.70E+10,1.83E+10,3.60E+10,2.38E+10,6.04E+10,0.1104531,0.00015806,0.2816133,2.498428,2709.528,4917.038,1.814548,15.87007,5.064592
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5238.194,64.12173,115.3734,4.42E+10,1.73E+10,3.29E+10,2.14E+10,5.60E+10,0.1195314,0.000596469,0.2761583,2.477274,2643.063,4753.71,1.799102,14.15935,5.140728
