wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5135.8368,60.08249,103.6465,5.48E+10,2.20E+10,3.60E+10,2.14E+10,6.53E+10,0.09690322,0.005196339,0.2466985,2.537897,2941.321,5073.067,1.725016,14.12305,4.643026
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5135.9892,59.34555,101.2747,5.80E+10,2.34E+10,3.70E+10,2.14E+10,6.82E+10,0.08076356,0.000598291,0.2385003,2.585187,3009.883,5136.246,1.706498,13.75895,4.319134
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5136.1416,57.98833,99.87862,6.07E+10,2.44E+10,3.98E+10,2.36E+10,7.23E+10,0.0666962,7.03E-05,0.2457304,2.61595,3051.784,5256.978,1.722532,13.35501,3.988647
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5136.294,57.30297,99.0316,6.20E+10,2.48E+10,4.11E+10,2.45E+10,7.42E+10,0.05938524,0.000202404,0.2483259,2.620982,3077.84,5319.136,1.728208,12.67794,3.847384
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5136.4464,56.98906,99.41627,6.16E+10,2.46E+10,4.20E+10,2.56E+10,7.47E+10,0.06265022,0.001746934,0.2552289,2.611924,3065.94,5348.426,1.744506,12.21828,3.89803
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5136.5988,57.15051,98.90241,6.18E+10,2.47E+10,4.11E+10,2.46E+10,7.40E+10,0.0711893,0.006704303,0.249264,2.602856,3081.896,5333.325,1.730596,12.85291,4.073189
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5136.7512,57.26569,99.19996,6.13E+10,2.45E+10,4.09E+10,2.45E+10,7.36E+10,0.08150711,0.01047645,0.2500725,2.598191,3072.626,5322.56,1.732275,13.85106,4.19553
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5136.9036,57.24252,100.12,6.05E+10,2.41E+10,4.15E+10,2.55E+10,7.36E+10,0.09025055,0.009936972,0.2571466,2.59586,3044.404,5324.714,1.749052,15.17463,4.247539
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5137.056,57.65522,100.3918,6.00E+10,2.39E+10,4.06E+10,2.47E+10,7.25E+10,0.09419002,0.003839571,0.2539055,2.593959,3036.104,5286.713,1.741281,15.70568,4.298646
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5137.2084,58.20272,100.644,5.92E+10,2.37E+10,3.93E+10,2.35E+10,7.09E+10,0.09158243,0.003462038,0.2487549,2.58348,3028.505,5236.957,1.729215,15.80455,4.417478
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5137.3608,58.62742,101.3549,5.79E+10,2.32E+10,3.83E+10,2.29E+10,6.92E+10,0.09128714,0.0033774,0.2485814,2.561528,3007.297,5198.978,1.728793,15.61655,4.598779
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5137.5132,59.00317,102.3502,5.63E+10,2.25E+10,3.77E+10,2.27E+10,6.78E+10,0.09141774,0.004911209,0.2511142,2.538954,2978.074,5165.867,1.734648,15.50775,4.692061
