wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4945.1816,52.06811,99.00217,7.40E+10,2.83E+10,6.45E+10,4.57E+10,1.02E+11,-9999,-9999,0.3087987,2.981019,3078.722,5854.113,1.901467,9.000471,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4945.334,52.07753,98.95731,7.39E+10,2.83E+10,6.43E+10,4.55E+10,1.02E+11,-9999,-9999,0.3084772,2.977979,3080.116,5852.862,1.900208,10.16183,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4945.4864,52.11204,98.9548,7.39E+10,2.82E+10,6.42E+10,4.53E+10,1.02E+11,-9999,-9999,0.3081175,2.976253,3080.194,5848.941,1.898887,8.858199,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4945.6388,52.07421,98.91531,7.38E+10,2.82E+10,6.42E+10,4.54E+10,1.02E+11,-9999,-9999,0.3082915,2.971777,3081.424,5853.186,1.899507,9.148634,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4945.7912,51.69908,98.72809,7.41E+10,2.83E+10,6.54E+10,4.65E+10,1.03E+11,0.009738602,0.01099803,0.3110887,2.96514,3087.271,5895.787,1.9097,8.847198,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4945.9436,51.25319,98.40703,7.47E+10,2.84E+10,6.69E+10,4.80E+10,1.05E+11,0.01056107,0.008813447,0.3138811,2.964319,3097.348,5947.026,1.920032,9.87354,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4946.096,51.28466,98.20539,7.50E+10,2.86E+10,6.67E+10,4.77E+10,1.05E+11,0.01114794,0.006995945,0.3125091,2.967858,3103.7,5943.321,1.914918,8.417509,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4946.2484,51.05507,98.04018,7.56E+10,2.88E+10,6.77E+10,4.86E+10,1.06E+11,0.008648122,0.005316386,0.3139482,2.976976,3108.931,5970.112,1.920305,8.135414,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4946.4008,51.25982,98.31139,7.51E+10,2.86E+10,6.70E+10,4.80E+10,1.05E+11,0.006386909,0.00670823,0.3133177,2.97432,3100.367,5946.286,1.917921,8.132744,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4946.5532,51.42049,97.65051,7.58E+10,2.90E+10,6.59E+10,4.66E+10,1.05E+11,0.005588837,0.01202049,0.3081293,2.974749,3121.426,5927.598,1.89906,9.082323,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4946.7056,51.49846,97.44438,7.61E+10,2.91E+10,6.54E+10,4.60E+10,1.04E+11,0.005956109,0.01737327,0.3062277,2.976528,3127.941,5918.629,1.892181,9.353638,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4946.858,51.21697,97.37527,7.64E+10,2.92E+10,6.66E+10,4.71E+10,1.06E+11,0.008281572,0.0144762,0.3087667,2.979942,3130.16,5951.248,1.901254,8.901137,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4947.0104,50.98888,98.75675,7.47E+10,2.83E+10,6.85E+10,4.96E+10,1.06E+11,0.009154587,0.005560047,0.3181442,2.974164,3086.656,5977.783,1.936854,8.72777,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4947.1628,51.2021,99.51975,7.34E+10,2.78E+10,6.79E+10,4.94E+10,1.05E+11,0.009192486,0.001965124,0.3200016,2.962627,3062.711,5952.945,1.94368,8.298209,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4947.3152,51.0623,99.64191,7.31E+10,2.77E+10,6.84E+10,5.00E+10,1.05E+11,0.008771013,0.005894539,0.3219214,2.95542,3058.955,5969.241,1.951402,8.145411,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4947.4676,50.91653,99.35629,7.34E+10,2.77E+10,6.87E+10,5.02E+10,1.06E+11,0.007938273,0.01337835,0.3219211,2.948444,3067.76,5986.27,1.951355,10.24422,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4947.62,50.58802,98.19136,7.49E+10,2.84E+10,6.91E+10,5.02E+10,1.07E+11,0.008025669,0.01832982,0.319316,2.944852,3104.29,6025.241,1.940978,9.777366,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4947.7724,50.37688,97.70741,7.56E+10,2.87E+10,6.96E+10,5.05E+10,1.08E+11,0.009266922,0.009725238,0.3189566,2.946237,3119.518,6050.401,1.93953,8.769797,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4947.9248,50.41718,98.7914,7.46E+10,2.82E+10,7.06E+10,5.18E+10,1.08E+11,0.01278876,0.004335416,0.3238702,2.959491,3085.455,6045.564,1.959467,5.309231,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4948.0772,50.52511,99.29739,7.41E+10,2.80E+10,7.07E+10,5.21E+10,1.08E+11,0.01677759,0.005630162,0.3253232,2.966993,3069.567,6032.65,1.965309,5.921996,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4948.2296,50.52459,99.17218,7.39E+10,2.79E+10,7.02E+10,5.17E+10,1.07E+11,0.019433,0.00773957,0.324732,2.951668,3073.445,6032.707,1.962849,7.072471,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4948.382,50.77171,98.96175,7.27E+10,2.75E+10,6.78E+10,4.95E+10,1.04E+11,0.02120518,0.007591268,0.3213635,2.899009,3079.981,6003.412,1.94918,9.240128,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4948.5344,51.66805,100.0757,6.89E+10,2.61E+10,6.32E+10,4.58E+10,9.81E+10,0.02132938,0.004044294,0.3182909,2.816313,3045.88,5899.788,1.93694,11.98716,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4948.6868,54.67578,100.7195,6.45E+10,2.50E+10,5.19E+10,3.52E+10,8.52E+10,0.02138734,0.001214945,0.2903596,2.73015,3026.229,5580.594,1.844023,18.20095,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4948.8392,56.16119,100.5814,6.23E+10,2.45E+10,4.58E+10,2.95E+10,7.84E+10,0.02184476,0.000183524,0.2734674,2.662777,3030.388,5427.318,1.790977,24.99021,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4948.9916,57.29466,101.2515,6.01E+10,2.38E+10,4.26E+10,2.67E+10,7.43E+10,0.02195418,6.67E-06,0.2644666,2.622717,3010.399,5320.561,1.767338,31.34611,5.828238,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4949.144,58.15834,102.234,5.83E+10,2.31E+10,4.06E+10,2.52E+10,7.14E+10,0.02076903,4.07E-06,0.2607736,2.59953,2981.45,5240.992,1.757862,37.84647,5.795274,,
