wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5400.0772,52.6588,91.50488,7.53E+10,3.01E+10,5.07E+10,3.06E+10,9.08E+10,0.04793904,0.01886419,0.2524207,2.709008,3330.97,5788.213,1.737697,13.17314,5.30972,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5400.2296,52.88187,91.59241,7.48E+10,2.99E+10,4.99E+10,2.99E+10,8.98E+10,0.05256572,0.01100853,0.2499701,2.702886,3327.789,5763.904,1.732049,14.87686,5.077899,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5400.382,53.31004,92.55447,7.30E+10,2.92E+10,4.90E+10,2.96E+10,8.79E+10,0.05708173,0.004094106,0.2517065,2.688448,3293.443,5717.574,1.736123,18.52385,4.897623,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5400.5344,53.52676,94.43826,7.03E+10,2.78E+10,4.95E+10,3.09E+10,8.66E+10,0.05566822,0.001479423,0.263164,2.670432,3227.909,5694.362,1.764303,25.86305,4.859097,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5400.6868,54.55925,98.0936,6.56E+10,2.57E+10,4.88E+10,3.16E+10,8.31E+10,0.051055,0.000654979,0.2758323,2.659872,3109.089,5588.035,1.797698,34.98531,4.886583,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5400.8392,57.79532,101.3689,6.05E+10,2.40E+10,4.22E+10,2.61E+10,7.42E+10,0.04789183,0.00020336,0.2586392,2.656266,3007.169,5281.193,1.755701,43.1234,4.811184,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5400.9916,60.58228,102.532,5.76E+10,2.34E+10,3.59E+10,2.03E+10,6.71E+10,0.04615625,9.15E-06,0.231668,2.647639,2972.743,5032.079,1.692698,42.80446,4.690321,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5401.144,61.22613,102.309,5.72E+10,2.34E+10,3.42E+10,1.86E+10,6.54E+10,0.05012745,0.000185257,0.2210027,2.638614,2979.244,4978.269,1.671,33.71748,4.577688,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5401.2964,59.68676,101.2928,5.90E+10,2.39E+10,3.71E+10,2.11E+10,6.90E+10,0.05289001,0.001667487,0.2338201,2.641726,3009.207,5109.016,1.697637,20.73123,4.442669,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5401.4488,56.55437,99.00841,6.34E+10,2.52E+10,4.38E+10,2.70E+10,7.74E+10,0.05182587,0.00558705,0.2577642,2.656965,3079.249,5394.588,1.751511,10.8707,4.233585,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5401.6012,55.0652,95.70895,6.76E+10,2.70E+10,4.55E+10,2.75E+10,8.15E+10,0.05508825,0.01077616,0.2519966,2.659923,3185.687,5535.26,1.738108,7.977159,4.044745,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5401.7536,54.49512,94.29397,6.87E+10,2.75E+10,4.57E+10,2.73E+10,8.24E+10,0.06930725,0.01287599,0.2491363,2.632273,3232.452,5593.652,1.730476,7.426023,4.002019,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5401.906,55.68692,96.21725,6.48E+10,2.60E+10,4.30E+10,2.57E+10,7.76E+10,0.09232662,0.00867557,0.2481823,2.5847,3168.731,5476.97,1.728196,8.183215,4.028994,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5402.0584,59.34629,99.0554,5.90E+10,2.42E+10,3.54E+10,1.92E+10,6.76E+10,0.1070269,0.003590644,0.2195345,2.551662,3077.561,5142.605,1.670505,8.452278,4.106129,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5402.2108,61.14692,100.6324,5.67E+10,2.35E+10,3.23E+10,1.66E+10,6.36E+10,0.1048495,0.001944918,0.2072931,2.558341,3028.901,4984.716,1.64575,9.442854,4.20111,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5402.3632,60.19598,101.9047,5.74E+10,2.33E+10,3.58E+10,2.02E+10,6.69E+10,0.09025495,0.003454773,0.2313178,2.606033,2991.202,5064.363,1.693355,12.45333,4.380847,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5402.5156,56.58957,102.3017,6.05E+10,2.36E+10,4.63E+10,3.05E+10,7.78E+10,0.07104718,0.007627838,0.2780393,2.66396,2979.438,5396.527,1.811091,16.30917,4.564257,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5402.668,53.58515,98.09383,6.73E+10,2.62E+10,5.25E+10,3.51E+10,8.74E+10,0.06584426,0.01077472,0.2865323,2.69875,3111.003,5689.224,1.830082,22.33376,4.790255,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5402.8204,53.10423,91.92878,7.43E+10,2.98E+10,4.94E+10,2.95E+10,8.91E+10,0.0729036,0.01049235,0.2476858,2.705154,3318.594,5739.692,1.73124,30.31977,5.073186,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5402.9728,52.83745,88.73708,7.80E+10,3.18E+10,4.73E+10,2.61E+10,8.98E+10,0.07826804,0.008695479,0.2253345,2.697435,3435.082,5768.856,1.679418,43.88623,5.370492,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5403.1252,52.43053,88.53619,7.82E+10,3.18E+10,4.83E+10,2.71E+10,9.07E+10,0.07674598,0.007517796,0.2298812,2.683896,3442.713,5813.439,1.68866,51.85709,5.640651,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5403.2776,51.58607,88.32848,7.85E+10,3.16E+10,5.05E+10,2.95E+10,9.27E+10,0.06854678,0.007348842,0.2411355,2.65426,3450.839,5909.498,1.712417,50.78033,5.807125,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5403.43,50.99712,87.95604,7.83E+10,3.14E+10,5.15E+10,3.06E+10,9.34E+10,0.06191188,0.00936337,0.2467938,2.615286,3465.367,5976.81,1.724726,38.07177,6.090461,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5403.5824,51.89405,89.17401,7.51E+10,3.02E+10,4.89E+10,2.88E+10,8.92E+10,0.06327853,0.009565975,0.2439813,2.582438,3418.507,5874.877,1.718479,26.35349,6.757658,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5403.7348,53.62811,91.47665,7.07E+10,2.86E+10,4.50E+10,2.60E+10,8.31E+10,0.0682717,0.006065282,0.2381891,2.5704,3332.579,5685.212,1.705866,18.46862,7.455387,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5403.8872,55.1241,93.87882,6.73E+10,2.72E+10,4.26E+10,2.45E+10,7.89E+10,0.06942723,0.002287329,0.2368771,2.578782,3247.247,5530.038,1.70302,16.90679,8.005854,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5404.0396,55.35735,96.14677,6.51E+10,2.60E+10,4.38E+10,2.64E+10,7.84E+10,0.06205519,0.002253315,0.2516454,2.586999,3170.556,5506.159,1.736964,17.54937,8.198055,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5404.192,53.74019,95.66685,6.67E+10,2.63E+10,4.83E+10,3.08E+10,8.34E+10,0.08899626,0.004873011,0.2694698,2.587992,3186.562,5674.58,1.780567,19.18219,8.422779,,
